month,Price2006,Price2009,Price2012,Price2015,Price2018,Price2021
January,63.85,44.95,113.81,48.81,69.68,54.87
February,61.33,46.52,121.87,58.09,66.67,62.48
March,65.0,49.7,128.0,56.69,74.72,65.62
April,72.09,51.16,122.62,57.45,72.37,64.3
May,71.18,60.02,113.08,65.08,77.64,67.83
June,69.32,72.24,98.06,62.06,75.38,73.46
July,75.13,66.52,104.62,57.01,74.72,75.93
August,75.15,74.0,113.76,47.09,73.35,70.72
September,62.97,70.22,114.36,48.08,79.59,74.55
October,59.49,78.25,108.92,48.86,79.18,84.11
November,59.81,78.11,111.05,44.82,66.59,82.16
December,64.7,75.11,114.49,37.8,62.0,65.41
